ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
PREMIERENE.NS,Premier Energies Limited,Solar,Technology,True,F&O,Stage 2,watchlist,32.2,-1.58,-0.88,6.19,23.56,1046.0
TATAINVEST.NS,Tata Investment Corporation Limited,Asset Management,Financial Services,False,Cash,Not Sure,watchlist,29.8,-1.58,0.9,0.56,-2.03,679.0
SBIN.NS,State Bank of India,Banks - Regional,Financial Services,True,F&O,Stage 3,watchlist,35.63,-1.59,0.88,5.63,5.88,1024.2
VMART.NS,V-Mart Retail Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 1,watchlist,33.95,-1.59,4.69,16.3,9.79,766.2
SJVN.NS,SJVN Limited,Utilities - Renewable,Utilities,False,Cash,Stage 4,watchlist,30.92,-1.59,-0.96,-1.76,-0.86,72.96
JTEKTINDIA.NS,Jtekt India Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 1,watchlist,6.05,-1.59,0.61,5.4,-4.88,134.23
CENTRALBK.NS,Central Bank of India,Banks - Regional,Financial Services,False,Cash,Stage 4,watchlist,25.85,-1.6,1.56,3.93,-11.67,32.5
PGHL.NS,Procter & Gamble Health Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,66.04,-1.61,-0.37,8.34,11.66,6203.5
MAHSCOOTER.NS,Maharashtra Scooters Limited,Asset Management,Financial Services,False,Cash,Stage 4,watchlist,23.13,-1.61,-0.29,0.32,-11.97,12505.0
LTM.NS,LTM Limited,Information Technology Services,Technology,True,F&O,Stage 4,watchlist,16.11,-1.61,-5.95,-5.59,-37.52,3768.4
EMIL.NS,Electronics Mart India Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 1,watchlist,26.45,-1.62,7.07,2.42,12.16,119.59
SHAREINDIA.NS,Share India Securities Limited,Capital Markets,Financial Services,False,Cash,Stage 4,watchlist,16.22,-1.62,0.02,-1.79,-16.14,137.47
APCOTEXIND.NS,Apcotex Industries Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,61.86,-1.63,2.47,9.03,48.44,533.9
BAJAJ-AUTO.NS,Bajaj Auto Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,Stage 2,watchlist,38.94,-1.63,0.87,-3.1,6.36,10025.0
GRMOVER.NS,GRM Overseas Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 4,watchlist,1.8,-1.64,-1.4,-41.74,-43.23,91.66
GVT&D.NS,GE Vernova T&D India Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,44.51,-1.65,10.91,13.18,70.77,5404.0
SYMPHONY.NS,Symphony Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,False,Cash,Stage 4,watchlist,7.41,-1.65,3.01,-4.07,-24.29,692.55
INDOTECH.NS,Indo Tech Transformers Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,55.42,-1.66,5.01,13.45,77.5,2767.0
EPIGRAL.NS,Epigral Limited,Chemicals,Basic Materials,False,Cash,Stage 4,watchlist,7.77,-1.66,-2.16,-9.81,-11.36,1114.4
NAM-INDIA.NS,Nippon Life India Asset Management Limited,Asset Management,Financial Services,True,F&O,Stage 2,watchlist,44.39,-1.67,2.29,6.23,33.55,1168.6
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,39.63,-1.67,0.82,3.3,11.4,1802.9
REDTAPE.NS,Redtape Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 2,watchlist,36.06,-1.67,-0.83,0.19,7.42,133.42
JKLAKSHMI.NS,JK Lakshmi Cement Limited,Building Materials,Basic Materials,False,Cash,Stage 4,watchlist,24.38,-1.67,-0.25,-2.54,-24.51,599.0
TI.NS,Tilaknagar Industries Limited,Consumer Defensive,Consumer Defensive,False,Cash,Stage 4,watchlist,23.12,-1.67,0.28,-1.7,-4.71,433.4
SYNGENE.NS,Syngene International Limited,Diagnostics & Research,Healthcare,False,Cash,Stage 4,watchlist,21.11,-1.67,-3.77,-5.71,-32.94,436.0
HCG.NS,Healthcare Global Enterprises Limited,Medical Care Facilities,Healthcare,False,Cash,Stage 4,watchlist,12.63,-1.67,-3.29,-7.75,-7.31,605.1
RHIM.NS,RHI MAGNESITA INDIA LIMITED,Metal Fabrication,Industrials,False,Cash,Stage 4,watchlist,26.11,-1.68,1.02,-5.13,-15.86,382.45
INDUSINDBK.NS,IndusInd Bank Limited,Banks - Regional,Financial Services,True,F&O,Stage 2,watchlist,42.34,-1.69,-2.22,-2.23,1.71,905.45
VBL.NS,Varun Beverages Limited,Consumer Defensive,Consumer Defensive,True,F&O,Stage 2,watchlist,40.65,-1.69,-6.79,-4.97,2.78,504.3
CHALET.NS,Chalet Hotels Limited,Lodging,Consumer Cyclical,False,Cash,Stage 4,watchlist,28.62,-1.69,7.1,1.91,-9.96,810.1
HARSHA.NS,Harsha Engineers International Limited,Tools & Accessories,Industrials,False,Cash,Stage 2,watchlist,37.13,-1.7,-1.77,6.65,10.0,428.95
AGIIL.NS,Agi Infra Limited,Real Estate,Real Estate,False,Cash,Stage 2,watchlist,22.88,-1.71,-2.73,-5.94,37.07,360.15
SHARDACROP.NS,Sharda Cropchem Limited,Agricultural Inputs,Basic Materials,False,Cash,Stage 4,watchlist,10.01,-1.71,-2.96,-6.34,2.71,887.8
INDIANB.NS,Indian Bank,Banks - Regional,Financial Services,True,F&O,Stage 3,watchlist,7.66,-1.71,-0.81,2.89,3.82,846.4
SUZLON.NS,Suzlon Energy Limited,Specialty Industrial Machinery,Industrials,True,F&O,Stage 2,watchlist,35.29,-1.72,0.64,7.96,11.09,58.29
LODHA.NS,Lodha Developers Limited,Real Estate,Real Estate,True,F&O,Stage 4,watchlist,32.43,-1.72,-2.9,0.43,-15.11,910.75
KNRCON.NS,KNR Constructions Limited,Engineering & Construction,Industrials,False,Cash,Not Sure,watchlist,15.75,-1.73,6.06,2.67,-15.25,136.91
GRAVITA.NS,Gravita India Limited,Metal Fabrication,Industrials,False,Cash,Stage 1,watchlist,31.44,-1.74,2.75,3.12,-8.01,1709.7
SANDUMA.NS,Sandur Manganese & Iron Ores Limited,Steel,Basic Materials,False,Cash,Stage 2 Failed,watchlist,28.98,-1.74,-2.56,-9.72,-14.16,209.83
ABDL.NS,Allied Blenders and Distillers Limited,Consumer Defensive,Consumer Defensive,False,Cash,Stage 2,watchlist,22.05,-1.74,-1.46,15.77,3.23,620.55
MOSCHIP.NS,Moschip Technologies Limited,Technology,Technology,False,Cash,Stage 2 Failed,watchlist,12.12,-1.75,-3.27,1.53,3.62,209.5
RSYSTEMS.NS,R Systems International Limited,Information Technology Services,Technology,False,Cash,Stage 4,watchlist,7.26,-1.75,-4.75,-6.56,-37.48,249.85
AWL.NS,AWL Agri Business Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 4,watchlist,1.8,-1.75,-6.33,-4.29,-22.83,183.82
KFINTECH.NS,Kfin Technologies Limited,Software - Application,Technology,True,F&O,Stage 4,watchlist,13.23,-1.76,3.14,7.16,-17.45,888.8
MAYURUNIQ.NS,Mayur Uniquoters Ltd,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,50.51,-1.77,-3.94,5.84,53.58,791.5
MAHABANK.NS,Bank of Maharashtra,Banks - Regional,Financial Services,False,Cash,Stage 2,watchlist,48.8,-1.77,-0.34,9.93,42.36,87.89
CESC.NS,CESC Limited,Utilities,Utilities,False,Cash,Stage 2 Failed,watchlist,6.4,-1.77,-0.66,-7.79,2.41,171.13
ANANTRAJ.NS,Anant Raj Limited,Real Estate,Real Estate,False,Cash,Stage 1,watchlist,32.2,-1.78,-3.31,3.01,-5.38,522.8
ETERNAL.NS,ETERNAL LIMITED,Consumer Cyclical,Consumer Cyclical,True,F&O,Stage 4,watchlist,27.11,-1.78,2.11,4.55,-8.76,258.95
