company_name,industry,symbol,Series,sector,ticker,f&o,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Paints Limited,Specialty Chemicals,ASIANPAINT,EQ,Basic Materials,ASIANPAINT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shriram Finance Limited,Credit Services,SHRIRAMFIN,EQ,Financial Services,SHRIRAMFIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL LIMITED,Consumer Cyclical,ETERNAL,EQ,Consumer Cyclical,ETERNAL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindalco Industries Limited,Basic Materials,HINDALCO,EQ,Basic Materials,HINDALCO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Green Energy Limited,Utilities - Renewable,ADANIGREEN,EQ,Utilities,ADANIGREEN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wipro Limited,Information Technology Services,WIPRO,EQ,Technology,WIPRO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Oil Corporation Limited,Oil & Gas Refining & Marketing,IOC,EQ,Energy,IOC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasim Industries Limited,Building Materials,GRASIM,EQ,Basic Materials,GRASIM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eicher Motors Limited,Auto Manufacturers,EICHERMOT,EQ,Consumer Cyclical,EICHERMOT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBI Life Insurance Company Limited,Insurance - Life,SBILIFE,EQ,Financial Services,SBILIFE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divi's Laboratories Limited,Drug Manufacturers - Specialty & Generic,DIVISLAB,EQ,Healthcare,DIVISLAB.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVS Motor Company Limited,Auto Manufacturers,TVSMOTOR,EQ,Consumer Cyclical,TVSMOTOR.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterGlobe Aviation Limited,Industrials,INDIGO,EQ,Industrials,INDIGO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varun Beverages Limited,Consumer Defensive,VBL,EQ,Consumer Defensive,VBL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jio Financial Services Limited,Asset Management,JIOFIN,EQ,Financial Services,JIOFIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Energy Solutions Limited,Utilities,ADANIENSOL,EQ,Utilities,ADANIENSOL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential Asset Management Company Limited,Asset Management,ICICIAMC,EQ,Financial Services,ICICIAMC.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Motors Limited,Auto Manufacturers,TMCV,EQ,Consumer Cyclical,TMCV.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE Limited,Financial Services,BSE,EQ,Financial Services,BSE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Finance Corporation Limited,Credit Services,PFC,EQ,Financial Services,PFC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi Energy India Limited,Electrical Equipment & Parts,POWERINDIA,EQ,Industrials,POWERINDIA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Limited,Consumer Cyclical,TRENT,EQ,Consumer Cyclical,TRENT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF Limited,Real Estate,DLF,EQ,Real Estate,DLF.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor India Limited,Auto Manufacturers,HYUNDAI,EQ,Consumer Cyclical,HYUNDAI.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidilite Industries Limited,Specialty Chemicals,PIDILITIND,EQ,Basic Materials,PIDILITIND.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummins India Limited,Specialty Industrial Machinery,CUMMINSIND,EQ,Industrials,CUMMINSIND.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB India Limited,Specialty Industrial Machinery,ABB,EQ,Industrials,ABB.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrent Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,TORNTPHARM,EQ,Healthcare,TORNTPHARM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Industries India Limited,Specialty Chemicals,SOLARINDS,EQ,Basic Materials,SOLARINDS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholamandalam Investment and Finance Company Limited,Credit Services,CHOLAFIN,EQ,Financial Services,CHOLAFIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muthoot Finance Limited,Credit Services,MUTHOOTFIN,EQ,Financial Services,MUTHOOTFIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Heavy Electricals Limited,Specialty Industrial Machinery,BHEL,EQ,Industrials,BHEL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
