snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-05-29,AXISCADES.NS,AXISCADES Technologies Limited,Engineering & Construction,Stage 2,27,113.17,watchlist,weekly_breakout,watchlist,62.1,34.81,41.32,0.73,0.12,0.85,True,True,"Stage 2, Messy Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-29,STLTECH.NS,Sterlite Technologies Limited,Communication Equipment,Stage 2,28,112.908,watchlist,weekly_breakout,watchlist,62.04,233.14,417.24,0.3,0.11,0.13,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-29,RPTECH.NS,Rashi Peripherals Limited,Technology,Stage 2,5,112.222,watchlist,weekly_breakout,watchlist,74.86,65.93,76.03,1.19,1.06,0.69,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-29,INOXINDIA.NS,INOX India Limited,Specialty Industrial Machinery,Stage 2,20,109.47,watchlist,weekly_near_pivot,watchlist,64.85,37.71,36.98,0.7,0.87,0.89,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-29,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,13,108.784,watchlist,weekly_breakout,watchlist,67.67,40.81,42.24,1.53,0.56,0.67,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-29,LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Stage 2,9,106.29,forming_vcp,weekly_breakout,watchlist,70.2,40.98,49.14,0.89,0.84,0.85,False,True,"Stage 2, Extended Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-29,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,3,105.792,watchlist,weekly_breakout,watchlist,75.21,28.19,46.7,0.9,4.34,1.48,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,KINGFA.NS,Kingfa Science & Technology (India) Limited,Specialty Chemicals,Stage 2,4,105.486,watchlist,weekly_breakout,watchlist,74.93,44.31,45.9,1.15,1.35,1.86,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,USHAMART.NS,Usha Martin Limited,Steel,Stage 2,7,104.042,watchlist,weekly_breakout,watchlist,71.46,33.05,32.33,1.36,1.12,2.82,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,NLCINDIA.NS,NLC India Limited,Utilities,Stage 2,8,103.6,watchlist,weekly_breakout,watchlist,70.5,40.12,56.51,0.94,1.06,0.94,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,NMDC.NS,NMDC Limited,Steel,Stage 2,21,102.168,watchlist,weekly_near_pivot,watchlist,64.59,17.32,34.38,0.85,2.25,1.11,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-05-29,WELCORP.NS,Welspun Corp Limited,Steel,Stage 2,14,101.302,watchlist,weekly_breakout,watchlist,66.51,85.76,68.75,1.17,1.76,1.57,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,NATIONALUM.NS,National Aluminium Company Limited,Basic Materials,Stage 2,1,101.126,watchlist,weekly_near_pivot,watchlist,79.38,32.78,79.73,1.34,12.71,2.72,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Stage 2,16,100.674,watchlist,weekly_breakout,watchlist,65.87,58.76,55.52,1.0,0.87,0.96,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,COALINDIA.NS,Coal India Limited,Energy,Stage 2,2,100.238,watchlist,weekly_near_pivot,watchlist,76.19,14.67,35.04,1.78,6.95,4.5,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,MARINE.NS,Marine Electricals (India) Limited,Electrical Equipment & Parts,Stage 2,25,97.882,watchlist,weekly_breakout,watchlist,63.16,50.57,27.03,1.78,9.62,3.82,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,NETWEB.NS,Netweb Technologies India Limited,Technology,Stage 2,29,96.64,watchlist,weekly_breakout,watchlist,61.95,39.5,51.32,1.29,7.06,2.36,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-29,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Stage 2,30,96.33,watchlist,weekly_breakout,watchlist,61.65,87.91,54.52,2.23,0.56,2.48,False,False,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong"
2026-05-29,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Stage 2,17,94.34,watchlist,weekly_near_pivot,watchlist,65.45,14.48,29.01,1.95,16.68,4.26,False,False,"Stage 2, Clean Stage 2, weekly_vcp_ok, weekly_strong"
2026-05-29,GLENMARK.NS,Glenmark Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Stage 2,22,92.888,watchlist,weekly_near_pivot,watchlist,64.44,18.93,30.58,1.09,1.9,1.49,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
