snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-05-19,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,3,121.434,watchlist,weekly_breakout,watchlist,73.42,27.56,31.95,0.59,0.58,0.59,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,COALINDIA.NS,Coal India Limited,Energy,Stage 2,5,114.812,watchlist,weekly_near_pivot,watchlist,72.81,21.7,28.38,0.82,0.6,0.77,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,GPIL.NS,Godawari Power And Ispat limited,Steel,Stage 2,6,114.544,watchlist,weekly_near_pivot,watchlist,72.72,20.82,13.73,0.76,0.83,0.77,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,AXISCADES.NS,AXISCADES Technologies Limited,Engineering & Construction,Stage 2,27,113.606,watchlist,weekly_breakout,watchlist,64.28,52.25,39.99,0.8,0.79,0.75,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,ADANIPOWER.NS,Adani Power Limited,Utilities,Stage 2,8,112.892,watchlist,weekly_breakout,watchlist,71.96,65.09,51.07,0.84,0.63,0.94,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-05-19,SANGAMIND.NS,Sangam (India) Limited,Textile Manufacturing,Stage 2,17,111.064,watchlist,weekly_near_pivot,watchlist,69.07,11.99,17.97,0.51,0.22,0.41,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Asset Management,Stage 2,21,109.666,watchlist,weekly_near_pivot,watchlist,67.08,27.77,50.0,0.75,0.49,0.62,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-19,NATCOPHARM.NS,Natco Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,2,106.714,watchlist,weekly_near_pivot,watchlist,73.57,45.99,48.38,0.86,0.72,0.67,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-19,ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Stage 2,7,104.158,watchlist,weekly_breakout,watchlist,72.04,53.44,37.64,1.01,1.53,1.42,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,INOXINDIA.NS,INOX India Limited,Specialty Industrial Machinery,Stage 2,10,103.29,watchlist,weekly_breakout,watchlist,71.45,30.67,27.78,1.21,0.39,0.96,False,False,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,STAR.NS,Strides Pharma Science Limited,Drug Manufacturers - Specialty & Generic,Stage 2,11,102.94,watchlist,weekly_breakout,watchlist,70.95,42.99,30.99,1.69,4.03,2.43,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,RPTECH.NS,Rashi Peripherals Limited,Technology,Stage 2,14,102.098,watchlist,weekly_breakout,watchlist,70.49,57.07,69.69,1.61,1.58,1.84,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,MANINDS.NS,Man Industries (India) Limited,Steel,Stage 2,1,101.88,watchlist,weekly_near_pivot,watchlist,83.15,41.8,41.29,0.88,1.56,1.25,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,NLCINDIA.NS,NLC India Limited,Utilities,Stage 2,15,101.758,watchlist,weekly_breakout,watchlist,70.04,46.68,51.28,2.14,0.99,3.71,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Stage 2,16,101.424,watchlist,weekly_breakout,watchlist,69.62,41.69,43.48,1.23,0.91,1.21,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,AZAD.NS,Azad Engineering Limited,Specialty Industrial Machinery,Stage 2,18,100.632,watchlist,weekly_breakout,watchlist,68.16,29.64,26.75,1.14,0.96,1.1,False,False,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,19,100.31,watchlist,weekly_breakout,watchlist,67.8,34.63,53.14,3.22,1.06,2.78,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,KINGFA.NS,Kingfa Science & Technology (India) Limited,Specialty Chemicals,Stage 2,20,99.93,watchlist,weekly_breakout,watchlist,67.15,27.93,25.99,1.49,0.76,1.0,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,VISHNU.NS,Vishnu Chemicals Limited,Specialty Chemicals,Stage 2,22,99.374,watchlist,weekly_breakout,watchlist,66.87,24.58,29.91,0.9,1.05,0.93,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-05-19,NMDC.NS,NMDC Limited,Steel,Stage 2,4,99.148,watchlist,weekly_near_pivot,watchlist,73.24,20.56,28.55,0.86,0.56,1.18,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
