snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-08-21,RKFORGE.NS,Ramkrishna Forgings Limited,Metal Fabrication,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,5,121.45,watchlist,weekly_breakout,watchlist,76.0,29.28,39.96,0.73,0.22,0.55,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,DIVISLAB.NS,Divi's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,3,118.08,forming_vcp,weekly_breakout,watchlist,76.65,26.08,42.8,0.79,0.35,0.53,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,GABRIEL.NS,Gabriel India Limited,Auto Parts,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-08-20,,9,115.944,forming_vcp,weekly_breakout,watchlist,73.47,25.14,55.21,0.3,0.3,0.25,True,True,"Stage 2, Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,KEI.NS,KEI Industries Limited,Electrical Equipment & Parts,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,6,115.076,watchlist,weekly_near_pivot,watchlist,75.38,0.58,21.95,0.83,0.65,0.77,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,AUROPHARMA.NS,Aurobindo Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,8,114.216,watchlist,weekly_near_pivot,watchlist,73.58,12.0,45.64,0.67,0.79,0.65,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,AEGISLOG.NS,Aegis Logistics Limited,Oil & Gas Refining & Marketing,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-08-20,,12,113.064,watchlist,weekly_near_pivot,watchlist,72.82,98.73,111.41,0.45,0.99,0.35,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,TVSMOTOR.NS,TVS Motor Company Limited,Auto Manufacturers,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,14,112.182,watchlist,weekly_near_pivot,watchlist,70.91,28.79,21.17,0.57,0.77,0.47,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,NAZARA.NS,Nazara Technologies Limited,Communication Services,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,22,111.958,forming_vcp,weekly_breakout,watchlist,69.79,21.48,36.63,0.54,0.2,0.47,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-08-21,ALIVUS.NS,Alivus Life Sciences Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-08-20,,7,111.754,watchlist,weekly_breakout,watchlist,75.02,25.3,54.02,0.91,0.45,0.68,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-08-21,VOLTAMP.NS,Voltamp Transformers Limited,Electrical Equipment & Parts,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-08-20,,1,111.462,watchlist,weekly_near_pivot,watchlist,86.06,16.94,39.24,0.72,2.34,0.9,True,False,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
