snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-06-01,ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Stage 2,14,117.386,watchlist,weekly_breakout,watchlist,66.93,57.82,50.25,0.81,0.73,0.82,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-01,NLCINDIA.NS,NLC India Limited,Utilities,Stage 2,7,116.048,forming_vcp,weekly_breakout,watchlist,71.49,36.21,47.51,0.74,0.61,0.88,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-01,STLTECH.NS,Sterlite Technologies Limited,Communication Equipment,Stage 2,22,114.408,watchlist,weekly_breakout,watchlist,62.04,250.17,438.37,0.24,0.18,0.09,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-01,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,5,112.134,watchlist,weekly_breakout,watchlist,74.42,43.69,44.54,0.89,1.52,0.87,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-01,SYRMA.NS,Syrma SGS Technology Limited,Electronic Components,Stage 2,16,110.382,watchlist,weekly_near_pivot,watchlist,64.41,40.82,39.09,0.71,0.83,0.78,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-01,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Stage 2,3,106.652,watchlist,weekly_breakout,watchlist,79.51,15.24,26.31,1.99,1.73,3.38,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-01,RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Steel,Stage 2,29,106.298,watchlist,weekly_near_pivot,watchlist,60.24,9.01,17.97,0.81,0.49,0.56,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-01,KINGFA.NS,Kingfa Science & Technology (India) Limited,Specialty Chemicals,Stage 2,4,105.87,watchlist,weekly_breakout,watchlist,76.85,34.96,43.85,1.42,3.28,2.47,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-01,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,6,104.422,watchlist,weekly_breakout,watchlist,72.11,23.52,39.37,0.94,1.17,1.57,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-01,TDPOWERSYS.NS,TD Power Systems Limited,Specialty Industrial Machinery,Stage 2,27,103.862,watchlist,weekly_breakout,watchlist,60.56,47.64,64.67,0.97,1.27,0.88,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
